diam;espesor;diam_mm;madera_kg;kg_canio;peso_paquete;kg_canio_revestido;peso_paquete_revestido;mts_canio_por_caja;cant_canios_caja;altura_caja;Ancho;cant_canios_paquete;cant_paquetes_caja;altura_paquete;suma_largos_paquete;largo_canio;Altura total carga + camion
6.625;3,2;168,28;384;162,83;2442,45;212,83;3192,45;1687,5;135;2114,52;2524,2;15;9;235;187,5;12,5;3864,52
6.625;4,8;168,28;288;241,89;3628,35;291,89;4378,35;1312,5;105;1627,96;2524,2;15;7;233;187,5;12,5;3377,96
6.625;5,6;168,28;240;280,82;4212,3;330,82;4962,3;1125;90;1384,68;2524,2;15;6;231;187,5;12,5;3134,68
6.625;6,4;168,28;192;319,36;4790,4;369,36;5540,4;937,5;75;1141,4;2524,2;15;5;228;187,5;12,5;2891,4
6.625;7,1;168,28;192;352,75;5291,25;402,75;6041,25;937,5;75;1141,4;2524,2;15;5;228;187,5;12,5;2891,4
6.625;7,9;168,28;144;390,55;5858,25;440,55;6608,25;750;60;898,12;2524,2;15;4;225;187,5;12,5;2648,12
6.625;8,7;168,28;144;427,96;6419,4;477,96;7169,4;750;60;898,12;2524,2;15;4;225;187,5;12,5;2648,12
8.625;4,4;219,08;288;291,17;3202,87;341,17;3752,87;962,5;77;1983,56;2409,88;11;7;283;137,5;12,5;3733,56
8.625;4,8;219,08;288;317,05;3487,55;367,05;4037,55;962,5;77;1983,56;2409,88;11;7;283;137,5;12,5;3733,56
8.625;5,6;219,08;240;368,51;4053,61;418,51;4603,61;825;66;1689,48;2409,88;11;6;282;137,5;12,5;3439,48
8.625;6,35;219,08;192;416,4;4580,4;466,4;5130,4;687,5;55;1395,4;2409,88;11;5;279;137,5;12,5;3145,4
8.625;6,4;219,08;192;419,58;4615,38;469,58;5165,38;687,5;55;1395,4;2409,88;11;5;279;137,5;12,5;3145,4
8.625;7,1;219,08;192;463,93;5103,23;513,93;5653,23;687,5;55;1395,4;2409,88;11;5;279;137,5;12,5;3145,4
8.625;7,9;219,08;144;514,26;5656,86;564,26;6206,86;550;44;1101,32;2409,88;11;4;275;137,5;12,5;2851,32
