diam_mm;peso;altura_paquete;metros_paquete;espesor;cant_canios_paquete
168.28;162.83;235;187.5;3.2;15
168.28;241.89;233;187.5;4.8;15
168.28;280.82;231;187.5;4.9;15
168.28;319.36;228;187.5;4.10;15
168.28;352.75;228;187.5;4.11;15
168.28;390.55;225;187.5;4.12;15
168.28;427.96;225;187.5;4.13;15
219.08;291.17;283;137.5;4.14;11
219.08;317.05;283;137.5;4.15;11
219.08;368.51;282;137.5;4.16;11
219.08;416.4;279;137.5;4.17;11
219.08;419.58;279;137.5;4.18;11
219.08;463.93;279;137.5;4.19;11
219.08;514.26;275;137.5;4.20;11
219.08;531.78;275;137.5;4.21;11
219.08;564.19;275;137.5;4.22;11
273.05;364.37;337;112.5;4.23;9
273.05;461.67;336;112.5;4.24;9
273.05;522.04;333;112.5;4.25;9
273.05;526.05;333;112.5;4.26;9
273.05;582.05;333;112.5;4.27;9
273.05;637.75;329;112.5;4.28;9
273.05;708.93;329;112.5;4.29;9
273.05;753.75;329;112.5;4.30;9
273.05;771.77;329;112.5;4.31;9
323.85;472.07;386;87.5;4.32;7
323.85;549.36;386;87.5;4.33;7
323.85;621.47;386;87.5;4.34;7
323.85;626.27;386;87.5;4.35;7
323.85;693.23;384;87.5;4.36;7
323.85;769.39;380;87.5;4.37;7
323.85;845.16;380;87.5;4.38;7
323.85;920.53;380;87.5;4.39;7
323.85;923.35;380;87.5;4.40;7
356;604.86;416;87.5;4.41;7
356;684.4;416;87.5;4.42;7
356;689.69;416;87.5;4.43;7
356;763.59;416;87.5;4.44;7
356;847.68;412;87.5;4.45;7
356;931.38;412;87.5;4.46;7
356;1014.68;406;87.5;4.47;7
406;691.17;466;75;4.48;6
406;782.27;466;75;4.49;6
406;788.33;466;75;4.50;6
406;873.02;466;75;4.51;6
406;969.44;462;75;4.52;6
406;1065.47;462;75;4.53;6
406;1161.1;456;75;4.54;6
406;1164.68;456;75;4.55;6
406;1256.34;456;75;4.56;6
406;1351.18;456;75;4.57;6
406;1539.68;444;75;4.58;6
457;888.94;513;62.5;4.59;5
457;901.26;513;62.5;4.60;5
457;984.64;513;62.5;4.61;5
457;1093.64;513;62.5;4.62;5
457;1202.24;513;62.5;4.63;5
457;1310.45;513;62.5;4.64;5
457;1418.26;507;62.5;4.65;5
457;1525.68;507;62.5;4.66;5
457;1739.33;507;62.5;4.67;5
508;989.56;564;62.5;4.68;5
508;1096.26;564;62.5;4.69;5
508;1152.53;564;62.5;4.70;5
508;1217.83;564;62.5;4.71;5
508;1339.01;558;62.5;4.72;5
508;1375.29;558;62.5;4.73;5
508;1459.79;558;62.5;4.74;5
508;1580.19;558;62.5;4.75;5
508;1646.23;558;62.5;4.76;5
508;1938.99;546;62.5;4.77;5
508;2936.31;508;62.5;4.78;5
559;1090.17;609;50;4.79;4
559;1207.87;609;50;4.80;4
559;1342.02;609;50;4.81;4
559;1475.78;609;50;4.82;4
559;1609.14;609;50;4.83;4
610;1190.78;660;50;4.84;4
610;1319.49;660;50;4.85;4
610;1466.22;660;50;4.86;4
610;1612.55;660;50;4.87;4
610;1758.49;660;50;4.88;4
610;1904.03;660;50;4.89;4
610;2049.18;660;50;4.90;4
610;2193.94;660;50;4.91;4
610;2338.3;648;50;4.92;4
610;3592.95;610;50;4.93;4
762;1371.4;812;34.5;4.94;3
762;1689.46;812;34.5;4.95;3
762;1858.57;812;34.5;4.96;3
762;2027.31;812;34.5;4.97;3
762;2195.7;812;34.5;4.98;3
762;2698.67;812;34.5;4.99;3
813;1763.77;851;37.5;4.100;3
813;2156.95;851;37.5;4.101;3
813;2548.55;851;37.5;4.102;3
813;3132.99;851;37.5;4.103;3
864;2084.75;902;37.5;4.104;3
864;2293.72;902;37.5;4.105;3
864;2502.3;902;37.5;4.106;3
864;2710.48;902;37.5;4.107;3
864;3332.65;902;37.5;4.108;3
914;1647.27;952;23;4.109;2
914;2029.99;952;23;4.110;2
914;2233.59;952;23;4.111;2
914;2436.82;952;23;4.112;2
914;2639.69;952;23;4.113;2
914;3246.12;952;23;4.114;2
1016;2485.24;1054;23;4.115;2
1016;2711.62;1054;23;4.116;2
1016;2937.63;1054;23;4.117;2
1016;3613.48;1054;23;4.118;2
1067;2611.07;1105;23;4.119;2
1067;2849.02;1105;23;4.120;2
1067;3086.6;1105;23;4.121;2
1067;3797.16;1105;23;4.122;2
1118;2736.9;1156;23;4.123;2
1118;2986.42;1156;23;4.124;2
1118;3235.57;1156;23;4.125;2
1118;3980.84;1156;23;4.126;2
1168;2860.26;1168;23;4.127;2
1168;3121.12;1168;23;4.128;2
1168;3381.62;1168;23;4.129;2
1168;4160.92;1168;23;4.130;2
1219;2986.09;1219;23;4.131;2
1219;3258.52;1219;23;4.132;2
1219;3530.58;1219;23;4.133;2
1219;4344.6;1219;23;4.134;2
1270;3111.92;1270;23;4.135;2
1270;3395.92;1270;23;4.136;2
1270;3679.55;1270;23;4.137;2
1270;4528.28;1270;23;4.138;2
